date,State,cases,deaths,population,new_cases,new_deaths,cases_per_100k,deaths_per_100k,new_cases_per_100k,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,overall_pct_change,AREA_SQMI,White,IncomePerCap,Poverty,ChildPoverty,Service,Production,dem_gop_diff_16,FBFilterBubble
2020-02-25,VA,0,0,8535519,0.0,0.0,0.0,0.0,0.0,4.0,1.0,11.0,2.0,3.0,0.0,3.5,39445.99100000001,63.517159245006404,34187.24103194674,11.627012241158145,15.995406719198579,17.12952475719259,9.877331696292229,-0.05512991184172862,7.5713791321825346
2020-02-26,VA,0,0,8535519,0.0,0.0,0.0,0.0,0.0,7.0,4.0,7.0,6.0,2.0,-1.0,4.166666666666667,39445.99100000001,63.517159245006404,34187.24103194674,11.627012241158145,15.995406719198579,17.12952475719259,9.877331696292229,-0.05512991184172862,7.5713791321825346
2020-02-27,VA,0,0,8535519,0.0,0.0,0.0,0.0,0.0,6.0,4.0,4.0,6.0,2.0,-1.0,3.5,39445.99100000001,63.517159245006404,34187.24103194674,11.627012241158145,15.995406719198579,17.12952475719259,9.877331696292229,-0.05512991184172862,7.5713791321825346
2020-02-28,VA,0,0,8535519,0.0,0.0,0.0,0.0,0.0,6.0,4.0,7.0,6.0,2.0,-1.0,4.0,39445.99100000001,63.517159245006404,34187.24103194674,11.627012241158145,15.995406719198579,17.12952475719259,9.877331696292229,-0.05512991184172862,7.5713791321825346
2020-02-29,VA,0,0,8535519,0.0,0.0,0.0,0.0,0.0,6.0,6.0,-1.0,6.0,2.0,-1.0,3.0,39445.99100000001,63.517159245006404,34187.24103194674,11.627012241158145,15.995406719198579,17.12952475719259,9.877331696292229,-0.05512991184172862,7.5713791321825346
2020-03-01,VA,0,0,8535519,0.0,0.0,0.0,0.0,0.0,10.0,9.0,24.0,9.0,2.0,-1.0,8.833333333333334,39445.99100000001,63.517159245006404,34187.24103194674,11.627012241158145,15.995406719198579,17.12952475719259,9.877331696292229,-0.05512991184172862,7.5713791321825346
2020-03-02,VA,0,0,8535519,0.0,0.0,0.0,0.0,0.0,7.0,5.0,20.0,2.0,5.0,-1.0,6.333333333333333,39445.99100000001,63.517159245006404,34187.24103194674,11.627012241158145,15.995406719198579,17.12952475719259,9.877331696292229,-0.05512991184172862,7.5713791321825346
2020-03-03,VA,0,0,8535519,0.0,0.0,0.0,0.0,0.0,14.0,10.0,40.0,2.0,-4.0,0.0,10.333333333333334,39445.99100000001,63.517159245006404,34187.24103194674,11.627012241158145,15.995406719198579,17.12952475719259,9.877331696292229,-0.05512991184172862,7.5713791321825346
2020-03-04,VA,0,0,8535519,0.0,0.0,0.0,0.0,0.0,9.0,8.0,39.0,5.0,2.0,-1.0,10.333333333333334,39445.99100000001,63.517159245006404,34187.24103194674,11.627012241158145,15.995406719198579,17.12952475719259,9.877331696292229,-0.05512991184172862,7.5713791321825346
2020-03-05,VA,0,0,8535519,0.0,0.0,0.0,0.0,0.0,6.0,6.0,19.0,4.0,2.0,-1.0,6.0,39445.99100000001,63.517159245006404,34187.24103194674,11.627012241158145,15.995406719198579,17.12952475719259,9.877331696292229,-0.05512991184172862,7.5713791321825346
2020-03-06,VA,0,0,8535519,0.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,3.0,1.0,0.0,2.1666666666666665,39445.99100000001,63.517159245006404,34187.24103194674,11.627012241158145,15.995406719198579,17.12952475719259,9.877331696292229,-0.05512991184172862,7.5713791321825346
2020-03-07,VA,0,0,8535519,0.0,0.0,0.0,0.0,0.0,6.0,8.0,27.0,8.0,1.0,-1.0,8.166666666666666,39445.99100000001,63.517159245006404,34187.24103194674,11.627012241158145,15.995406719198579,17.12952475719259,9.877331696292229,-0.05512991184172862,7.5713791321825346
2020-03-08,VA,2,0,8535519,0.2857142857142857,0.0,0.023431498424407466,0.0,0.003347356917772495,7.0,8.0,62.0,7.0,0.0,-1.0,13.833333333333334,39445.99100000001,63.517159245006404,34187.24103194674,11.627012241158145,15.995406719198579,17.12952475719259,9.877331696292229,-0.05512991184172862,7.5713791321825346
2020-03-09,VA,9,0,8535519,1.2857142857142858,0.0,0.1054417429098336,0.0,0.01506310612997623,7.0,8.0,64.0,-1.0,3.0,0.0,13.5,39445.99100000001,63.517159245006404,34187.24103194674,11.627012241158145,15.995406719198579,17.12952475719259,9.877331696292229,-0.05512991184172862,7.5713791321825346
2020-03-10,VA,9,0,8535519,1.2857142857142858,0.0,0.1054417429098336,0.0,0.01506310612997623,6.0,8.0,40.0,-1.0,1.0,0.0,9.0,39445.99100000001,63.517159245006404,34187.24103194674,11.627012241158145,15.995406719198579,17.12952475719259,9.877331696292229,-0.05512991184172862,7.5713791321825346
2020-03-11,VA,9,0,8535519,1.2857142857142858,0.0,0.1054417429098336,0.0,0.01506310612997623,7.0,9.0,40.0,0.0,-1.0,0.0,9.166666666666666,39445.99100000001,63.517159245006404,34187.24103194674,11.627012241158145,15.995406719198579,17.12952475719259,9.877331696292229,-0.05512991184172862,7.5713791321825346
2020-03-12,VA,9,0,8535519,1.2857142857142858,0.0,0.1054417429098336,0.0,0.01506310612997623,7.0,20.0,44.0,-3.0,-3.0,0.0,10.833333333333334,39445.99100000001,63.517159245006404,34187.24103194674,11.627012241158145,15.995406719198579,17.12952475719259,9.877331696292229,-0.05512991184172862,7.5713791321825346
2020-03-13,VA,37,0,8535519,5.285714285714286,0.0,0.43348272085153816,0.0,0.061926102978791156,3.0,22.0,46.0,-8.0,-8.0,3.0,9.666666666666666,39445.99100000001,63.517159245006404,34187.24103194674,11.627012241158145,15.995406719198579,17.12952475719259,9.877331696292229,-0.05512991184172862,7.5713791321825346
2020-03-14,VA,37,1,8535519,5.285714285714286,0.14285714285714285,0.43348272085153816,0.011715749212203733,0.061926102978791156,-7.0,14.0,37.0,-6.0,-3.0,3.0,6.333333333333333,39445.99100000001,63.517159245006404,34187.24103194674,11.627012241158145,15.995406719198579,17.12952475719259,9.877331696292229,-0.05512991184172862,7.5713791321825346
2020-03-15,VA,40,1,8535519,5.428571428571429,0.14285714285714285,0.46862996848814936,0.011715749212203733,0.0635997814376774,-14.0,5.0,-13.0,-17.0,-11.0,5.0,-7.5,39445.99100000001,63.517159245006404,34187.24103194674,11.627012241158145,15.995406719198579,17.12952475719259,9.877331696292229,-0.05512991184172862,7.5713791321825346
2020-03-16,VA,45,2,8535519,5.142857142857143,0.2857142857142857,0.5272087145491681,0.023431498424407466,0.06025242451990492,-7.0,14.0,10.0,-25.0,-20.0,9.0,-3.1666666666666665,39445.99100000001,63.517159245006404,34187.24103194674,11.627012241158145,15.995406719198579,17.12952475719259,9.877331696292229,-0.05512991184172862,7.5713791321825346
2020-03-17,VA,67,2,8535519,8.285714285714286,0.2857142857142857,0.7849551972176502,0.023431498424407466,0.09707335061540237,-13.0,10.0,52.0,-25.0,-28.0,11.0,1.1666666666666667,39445.99100000001,63.517159245006404,34187.24103194674,11.627012241158145,15.995406719198579,17.12952475719259,9.877331696292229,-0.05512991184172862,7.5713791321825346
2020-03-18,VA,77,2,8535519,9.714285714285714,0.2857142857142857,0.9021126893396875,0.023431498424407466,0.11381013520426483,-21.0,5.0,26.0,-30.0,-33.0,13.0,-6.666666666666667,39445.99100000001,63.517159245006404,34187.24103194674,11.627012241158145,15.995406719198579,17.12952475719259,9.877331696292229,-0.05512991184172862,7.5713791321825346
2020-03-19,VA,94,2,8535519,12.142857142857142,0.2857142857142857,1.101280425947151,0.023431498424407466,0.14226266900533105,-23.0,5.0,62.0,-34.0,-35.0,14.0,-1.8333333333333333,39445.99100000001,63.517159245006404,34187.24103194674,11.627012241158145,15.995406719198579,17.12952475719259,9.877331696292229,-0.05512991184172862,7.5713791321825346
2020-03-20,VA,114,2,8535519,11.0,0.2857142857142857,1.3355954101912257,0.023431498424407466,0.12887324133424108,-26.0,3.0,59.0,-36.0,-36.0,15.0,-3.5,39445.99100000001,63.517159245006404,34187.24103194674,11.627012241158145,15.995406719198579,17.12952475719259,9.877331696292229,-0.05512991184172862,7.5713791321825346
2020-03-21,VA,152,2,8535519,16.428571428571427,0.14285714285714285,1.7807938802549674,0.023431498424407466,0.19247302277191847,-37.0,-4.0,6.0,-34.0,-23.0,11.0,-13.5,39445.99100000001,63.517159245006404,34187.24103194674,11.627012241158145,15.995406719198579,17.12952475719259,9.877331696292229,-0.05512991184172862,7.5713791321825346
2020-03-22,VA,219,3,8535519,25.571428571428573,0.2857142857142857,2.5657490774726175,0.0351472476366112,0.29958844414063834,-38.0,-12.0,15.0,-43.0,-31.0,10.0,-16.5,39445.99100000001,63.517159245006404,34187.24103194674,11.627012241158145,15.995406719198579,17.12952475719259,9.877331696292229,-0.05512991184172862,7.5713791321825346
2020-03-23,VA,254,6,8535519,29.857142857142858,0.5714285714285714,2.975800299899748,0.0702944952732224,0.3497987979072258,-34.0,-10.0,-29.0,-49.0,-40.0,19.0,-23.833333333333332,39445.99100000001,63.517159245006404,34187.24103194674,11.627012241158145,15.995406719198579,17.12952475719259,9.877331696292229,-0.05512991184172862,7.5713791321825346
