geo_type,region,state,county,city,transportation_type,alternative_name,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20
sub-region,Puerto Rico,,,,driving,,100,107.62,117.39,120.33,132.37,133.62,111,99.66,111.85,112.09,120.93,133.38,134.41,99.57,105.99,108.8,109.93,120.53,139.97,143.55,116.26,106.59,109.76,113.15,119.75,136.28,144.79,116.09,109.39,118.66,125.27,135.6,159.9,153.17,130.04,110.51,118.63,122.36,129.31,144.05,153.68,125.23,115.33,118.13,122.22,129.71,157.47,159.04,127.94,112.91,122.72,125.85,151.46,153.82,163.02,124.31,123.94,128.47,131.79,126.95,134.58,118.98,80.34,53.29,40.76,33.73,32.05,31.51,27.79,21.3,22.58,24.73,24.53,26.19,27.48,25.9,18.8,23.85,22.82,21.68,22.95,24.55,22.25,10.2,23.66,24.87,25.64,27.8,13.4,16.88,13.18,32.82,30.54,34.1,32.04,34.1,32.45,18.16,32.57,31.93,34.57,35.04,38.89,36.58,22.49,35.86,37.07,38.15,40.99,45.74,44.43,30.51,43.92,47.26,49.18,51.92,58.89,62.97,35.45
sub-region,Rhode Island,,,,driving,,100,107.64,110.82,112.92,131.35,110.03,94,100.96,108.83,108.84,116.01,135.09,127.44,94.46,101.78,104.43,106.94,110.77,135.23,128.13,89.23,99.52,104.33,108.16,110.72,131.49,134.71,97.43,101.99,107.76,113.91,121.84,149.37,137.98,110.65,113.34,113.23,119.38,119.22,143.22,141.87,106.1,107.41,109.66,115.9,121.7,147.6,143.39,104.42,108.24,113.86,116.78,124.79,137.07,131.88,100.84,112.4,113.23,111.25,104.81,109.25,103.34,77.38,80.67,67.56,72.84,64.48,75.19,69.44,52.44,52.85,58.85,56.71,64.14,73.88,64.35,41.12,51.77,56.77,56.68,54.35,60.16,57.72,47.01,59.24,60.48,57.15,55.63,69.92,66.28,41.5,47.03,67.48,65.91,68.25,76.84,61.22,63.09,66.68,62.52,68.61,71.71,73.89,84.3,53.57,63.64,73.51,78.81,71.58,86.28,91.56,79.15,78.73,86.14,83.31,86.24,95.93,93.88,77.62
sub-region,South Carolina,,,,driving,,100,101.25,105.61,112.91,133.37,119.85,90.17,107.18,102.14,103.74,107.43,120.82,120.57,83.1,97.28,101.56,103.09,112.05,125.43,123.41,86.12,101.66,104.08,104.82,100.13,127.38,116.49,92.47,106.23,109.08,111.47,125.5,155.65,140.31,101.55,115.48,109.87,112.2,109.87,138.98,138.34,97.27,104.88,111.76,118.46,127.62,155.19,152.38,106.75,114.07,114.31,115.32,119.93,156.92,154.94,111.2,121.58,123.01,125.08,129.22,148.73,135.32,95.19,101.76,93.45,89.87,91.26,98.45,84.24,55.76,67.96,66.19,72.29,73.02,82.71,73.78,55.24,69.31,65.42,68.65,69.81,77.16,65.46,50.05,68.17,65.53,65.4,70.19,75.18,65.12,38.57,70.32,76.34,77.89,80.76,90.75,81.51,55.09,77.05,84.07,85.17,77.57,97.88,87.86,69.7,88.65,91.31,90.07,95.02,112.2,105.33,85.75,102.26,101.88,106.88,112.57,123.39,122.13,88.75
sub-region,South Dakota,,,,driving,,100,107.27,101.82,113.13,84.75,84.77,93.05,110.21,106.51,107.61,111.39,142.88,153.83,105.29,99.46,104.72,104.17,113.55,138.9,155.81,98.89,101.27,106.86,105.38,118.58,136.25,147.95,100.34,104.38,111.72,93.69,118.91,161.56,164.59,121.69,121.56,111.77,109.36,126.84,154.63,165.37,118.23,107.14,107.89,117.78,131.06,162.36,172.24,120.96,115.3,124.01,122.87,132.49,170.67,176.63,121.49,122.52,127.74,122.75,123.32,135.17,109.15,98.42,100.15,103.47,101.59,83.9,98.56,88.74,70.85,83.05,82.93,74.84,79.46,89.8,73.84,67.16,78.22,80.5,81.6,64.8,77.92,77.62,65.12,83.6,90.32,83.93,82.4,100.72,73.67,40.76,73.19,77.93,83.47,86.51,105.28,100.02,77.26,93.54,100.21,106.42,106.46,118.75,109.34,98.26,109.73,107.83,115.14,125.01,151.92,132.12,110.21,113,119.79,124.95,129.09,160.24,138.34,108.08
sub-region,Tennessee,,,,driving,,100,102.07,101.38,108.97,129.6,121.24,91.22,101.07,99.69,100.58,104.65,120.3,116.52,81.04,96.09,100.33,100.07,107.62,125.82,118.92,85.62,98.37,99.63,99.95,107.1,114.71,112.82,90.6,100.26,105.51,104.51,118.19,146.97,137.3,101.5,111.2,104.83,109,108.27,135.27,133.91,92.91,102.47,110.97,111.1,120.29,145.63,147.72,105.27,109.71,127.6,125.91,130.8,148.88,148.76,109.05,117.34,117.11,116.44,113.53,128.56,113.4,82.9,90.64,86.31,81.43,82.17,83.15,75.81,53.36,62.76,57.94,64.03,70.25,76.4,66.97,55,64.52,58.97,64.54,66.52,69.84,60.35,48.65,62.62,62.55,64.34,68.07,73.67,65.33,36.99,66.18,67.89,74.43,77.04,86.02,79.19,56.13,78.49,78.92,77.94,76.21,91.24,76.25,62.55,83.09,84.4,81.64,90.57,106.2,101.89,78.38,94.16,95.46,96.88,103.57,107.78,113.71,81.79
sub-region,Texas,,,,driving,,100,102.47,104.35,107.19,124.73,120.87,89.42,101.07,102.99,99.24,106.38,126.85,122.04,84.18,99.03,99.64,100.96,105.27,125.67,124.39,83.6,98.96,101.6,93.07,106.34,126.41,126.41,86.79,101.32,102.89,107.8,119.75,147.05,132.12,99.7,108.72,107.64,107.89,112.02,136.89,135.54,93.13,106.59,112.85,113.29,126.01,145.68,144.05,98.81,108.82,113.67,110.31,123.05,147.49,140.85,100.03,112.58,119.28,119.4,117.43,121.78,107.51,77.1,87.43,80.33,77.37,74.36,75.34,62.05,46.97,62.29,61.89,55.65,57.44,63.41,53.73,43.68,52.45,57.08,58.18,56.06,60.73,48.75,41.7,54.32,57.67,58.92,59.79,66.74,55.72,40.45,59.2,60.87,66.09,68.06,73.25,66.55,51.55,67.93,67.65,66.02,74.07,83.02,76.43,60.99,71.27,71.83,74.8,80.32,94.65,88.41,70.05,82.18,85.1,86.1,88.72,102.11,99.65,72.83
sub-region,Utah,,,,driving,,100,107.09,111.13,117.41,138.33,136.51,77.89,112.5,106.73,106.64,119.41,138.79,144.88,78.96,106.86,107.73,110.93,114.46,137.4,139.25,74.28,91.09,112.41,109.02,121.32,140.41,142.31,80.44,109.52,113.12,117.3,132.87,162.84,152.69,90.07,134.73,116.29,121.16,130.04,156.31,156.76,90.93,115.77,118.96,121.11,128.81,154.24,153.29,81.8,115.74,120.72,121.47,132.26,152.81,151.79,87.84,116.18,120.91,122.3,119.66,129.98,120.72,76.26,97.97,92.56,81.41,81.27,89.04,84.04,54.4,71.72,71.22,68.52,68.79,80.16,69.55,46.44,66.76,70.9,70.86,69.54,80.43,66.89,44.46,67.85,71.39,75.78,74.99,88.08,78.05,42.37,71.25,76.07,76.08,78.43,94.31,91.89,57.61,85.53,86.52,88.29,89.64,106.86,104,70.27,91.83,95.54,99.09,103.8,121.71,116.29,76.23,106.97,109.69,111.47,115.39,134.9,131.58,76.37
sub-region,Vermont,,,,driving,,100,98.15,99.64,95.85,149.74,153.92,135.7,139.88,95.35,96.3,104.81,141.27,145.1,118.95,92.8,92.78,95.55,102.88,133.76,144.45,111.79,94.45,91.64,96.65,90.64,114.9,149.69,137.87,99.79,98.71,103.02,108.02,163.8,186.92,164.58,157.73,123.36,125.74,132.67,165.37,164.4,138.02,105.01,101.74,103.77,106.26,148.71,152.96,133.7,104.29,106.53,101.4,110.59,143.34,148.59,126.17,101.02,97.11,95.78,95.06,110.66,109.63,89.55,72.33,63.26,61.75,57.6,58.71,57.39,47.75,45.98,44.83,47.87,45.14,50.21,50.72,34.97,41.67,45.77,46.02,43.19,47,49.62,39.44,47.93,48.05,47.51,43.17,48.39,50.88,36.28,44.28,52.08,55.33,54.56,59.06,60.33,54.6,59.05,55.68,56.43,65.07,69.8,76.67,51.85,54.3,65.68,67.36,62.64,70.89,77.76,68.22,63.17,69.27,73.06,74.02,80.86,73.22,62.12
sub-region,Virgin Islands,,,,driving,,100,96.05,102.97,100.47,106.88,110.52,100.24,98.48,94.37,98.68,90.49,98.62,113.39,94.27,92.18,96.9,95.45,96.02,102.56,107.69,95.92,94.3,97.37,104.76,104.55,100.57,112.92,104.79,101.35,101.96,103.68,115.45,122.97,132.92,121.85,116.12,118.18,111.53,116.05,113.73,115.48,107.42,109.71,116.26,111.47,108.74,112.21,112.45,102.09,99.63,92.11,98.65,103.47,112.45,119.29,111.47,121.99,117.91,120.34,104.99,120.88,104.22,92.55,84.59,80.64,76.9,77.71,71.84,65.13,45.53,40.44,46.51,38.72,41.38,37.3,37.34,44.25,33.15,33.29,34,41.35,41.65,38.85,32.01,30.42,36.96,32.45,30.86,30.19,41.62,36.86,27.52,26.54,31.4,33.05,40.17,42.8,35.89,38.28,33.02,29.75,32.92,41.99,36.73,37.44,35.75,37.07,36.16,39.66,41.89,46.1,40.57,33.05,39.76,37.88,38.72,44.18,55.78,39.87
sub-region,Virginia,,,,driving,,100,103.25,106.03,108.04,124.79,107.39,92.57,101.16,98.56,99.69,102.94,119.84,118.55,86.05,96.64,97.87,97.32,102.68,122.11,118.75,85.53,95.47,99.59,97.61,101.07,120.24,118.46,92.56,98.59,101.4,103.84,113.34,142.04,130.84,101.01,109.36,102.86,105.61,106.36,126.15,131.42,99.11,99.09,103.79,108.84,115.14,135.77,134.97,100.94,106.73,113.57,109.95,116.03,135.58,135.54,103.09,108.69,108.66,108.13,107.97,117.5,104.25,74.49,83.76,79.58,74.11,76.33,84,67.9,53.99,57.04,61.55,55.81,63.69,71.35,62.36,53.75,60.36,54.65,56.15,59.3,66.45,57.98,48.06,58.59,59.29,61.48,62.74,69.25,64.76,43.2,57.33,64.55,66.79,70.41,78.43,69.63,60.11,66.53,70.09,73.69,70.87,79.93,75.45,58.89,71.04,73.58,78.42,71.89,89.86,88.63,70.25,81.24,78.2,80.58,88.42,94.99,94.37,75.93
sub-region,Washington,,,,driving,,100,95.32,103.22,119.2,141.93,135.37,104.16,119.63,131.56,132.95,136.53,149.26,142.16,105.37,121.84,127.13,125.97,132.19,153.5,141.86,98.16,120.37,124.02,134.65,145.01,158.97,149.42,115.2,125.43,129.13,131.5,140.26,169.8,149.8,120.39,137.6,132.34,133.44,139.06,155.94,150.87,111.07,121.32,128.95,134.48,143.39,162.41,156.07,115.07,120.33,122.89,126.57,126.29,141.44,135.05,102.01,113.74,114.54,110.92,108.01,112.89,96.29,78.95,88.99,82.64,82.19,83.23,90.53,77.79,59.33,66.9,63.8,60.69,55.38,59.48,52.54,46.61,54.66,57.45,59.03,58.62,65,59.77,49.02,60.36,61.89,64.55,67.36,74.65,66.76,48.67,64.46,66.8,71.61,74.65,81.88,72.46,63.91,74.03,69.96,69.27,74.17,84.21,78.09,66.27,74.49,76.68,78.51,81.99,95.62,81.97,71.28,83.31,90.09,86.58,95.96,112.97,112.29,86.8
sub-region,West Virginia,,,,driving,,100,100.57,101.48,104.47,122.67,103.25,86.84,103.61,96.93,98.67,106.07,120.71,112.79,84.21,94.75,96.32,96.74,103.8,122.53,117.69,86.9,97.71,98.24,99.27,113.86,116.92,111.41,94.08,103.42,106.79,106.83,114.75,137.8,132.93,103.39,111.04,109.52,107.78,117.06,134.81,128.55,103.85,105.73,109.76,110.73,114.16,137.19,133.26,107.43,108.19,111.2,113.72,126.09,141.07,137.48,113.01,112.61,112.9,113.29,114.24,124.64,108.79,85.78,93.31,89.71,85.79,83.07,85.72,71.74,57.87,63.79,62.57,59.59,66.31,69.24,68.92,57.61,66.51,63.45,65.14,67.75,73.52,65.82,54,66.59,66.07,66.91,69.64,73.76,65.85,46.95,68.64,72.16,77.85,78.61,84.37,78.79,68.71,80.71,80.54,84.74,83.07,89.67,84.24,68.55,87.21,88.24,90.57,93.83,102.02,100.83,81.4,100.4,97.17,99.23,108.97,112.61,108.81,87.89
