geo_type,region,state,county,city,transportation_type,alternative_name,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20
country/region,United States,,,,driving,US,100,102.97,105.19,108.48,125.51,115.04,90.91,102.57,103.07,103.01,107.9,124.7,120.92,87.32,97.97,101.54,102.2,107.61,126.08,122.32,85.25,98.86,101.99,101.77,107.72,124.07,122.87,91.58,102.93,106.75,109.02,118.36,145.4,132.51,102.27,110.78,109.46,110.85,114.86,135.85,134.35,99.48,106.23,110.27,112.36,118.85,139.8,138.41,101.04,107.73,112.98,113.05,119.74,139.98,137.37,101.64,109.65,111.34,110.97,108.49,117.01,102.87,76.16,84.09,77.04,72.84,70.21,74.33,62.31,46.45,55.73,55.52,55.24,56.81,62.22,52.56,42.96,53.53,53.98,55.49,55.64,60.61,52.22,42.19,53.73,55.27,56.21,56.9,63.87,57.51,37.42,54.98,59.3,63.03,64.11,70.71,65.07,52.71,65.15,65,66.49,68,76.68,72.62,57.06,68.77,71.33,71.86,74.98,88.5,84.34,68.08,78.01,80.55,81.47,85.85,95.56,93.62,70.41
country/region,United States,,,,transit,US,100,97.77,98.84,99.04,108.03,97.41,85.4,92.39,100.27,101.06,103.29,113.06,101.88,81.35,97.56,97.08,97.49,100.72,110.99,103.42,80.2,96.48,97.63,98.26,101.15,110.91,107.27,84.2,98.3,100.64,102.08,106.67,119.06,107.77,91.63,101.73,104.64,105.16,106.16,117.14,110.65,87.27,99.21,100.12,100.52,102.98,116.02,109.92,85.31,98.06,100.26,101.5,103.53,111.5,107.32,84.23,97.1,92.48,89.97,79.08,76.78,64.59,49.93,50.79,43.58,39.63,36.76,35.8,29.31,24.84,28.17,27.91,26.94,27.09,28.07,23.83,22.39,26.51,25.47,25.24,24.67,25.04,22.42,20.92,24.71,24.65,24.51,23.69,24.31,22.65,19.06,23.67,24.44,24.23,24.06,24.89,22.89,22.11,26.13,25.1,25.09,25.08,25.99,24.85,22.47,26.64,27.32,26.84,26.66,29.24,28.11,26.35,30,29.8,29.47,30.12,30.07,28.58,24.77
country/region,United States,,,,walking,US,100,99.59,101.87,100.6,121.36,132.38,100.1,94.79,94.84,97.04,100.83,126.67,139.61,89.9,91.94,93.97,94.44,99.96,125.02,140.8,88.42,92.42,93.82,94.52,97.6,122.23,142.94,92.83,91.94,96.13,99.84,108.3,147.82,158.55,116.26,107.52,100.23,103.21,106.25,136.41,162.45,106.11,99.34,103.03,101.84,107.83,136.34,155.82,102.29,99.2,104.76,104.61,111.67,133.94,155.7,107.77,105.33,103.06,102.34,96.43,105.88,105.24,69.72,69.43,64.05,59.26,56.3,59.59,52.26,39.71,44.31,46.34,46.04,48.25,51.95,44.42,38.29,45.36,45.06,47.41,47.1,50.2,45.77,38.89,46.94,48.7,48.77,46.28,51.97,50.69,34.2,44.06,48.68,50.37,50.64,54.85,52.49,45.86,53.87,51.9,52.86,52.92,58.89,60,45.95,54.93,57.61,56.67,57.81,69.58,71.29,57.64,63.27,64.79,64.32,68.9,73.57,75.32,55.76
city,Albuquerque,NM,,Albuquerque,driving,,100,101.06,104.03,97.01,118.28,116.32,80.57,94.51,99.66,101.47,104.29,119.89,115.52,77.72,96.01,103.17,103.8,106.1,121.73,117.85,77.04,97.16,98.5,104.48,108.02,125.97,121.12,83.81,105.73,90.05,110.8,123.73,144.08,126.84,94.49,105.31,108.67,108.85,114.72,133.53,126.33,85.98,112.65,109.58,114.18,118.12,135,143.68,93.07,107.47,115.03,112.75,118.74,137.36,132.8,87.89,111.34,121.72,120.34,115.46,115.42,105.16,73.31,90.14,82.66,79.14,73.26,80.06,66.52,51.19,63.13,55.03,56.43,53.86,60.69,52.93,43.05,54.76,57.3,57.72,58.72,65.78,57.23,44.45,57.06,57.64,59.35,60.2,69.14,58.42,37.42,51.78,59.63,66,67.78,75.23,66.92,53.13,66.58,66.09,69.02,71.7,78.53,70.01,57.21,69.77,73.44,73.93,76.91,90.4,80.03,63.08,77.37,81.24,80.79,83.39,93.47,87.01,64.11
city,Albuquerque,NM,,Albuquerque,transit,,100,82.47,86.27,77.21,79.91,80.35,66.62,82.91,89.92,89.26,80.79,87.87,87.87,68.37,75.75,87.14,91.67,93.5,93.21,80.13,64.79,88.17,78.52,87,85.68,95.03,84.51,72.46,89.63,77.57,88.02,91.75,91.6,83.49,74.87,92.99,91.02,91.96,96.57,97.95,81.3,69.83,89.04,73.05,91.53,88.09,88.82,87.36,65.67,87.44,87.14,89.55,96.49,104.16,92.99,73.27,95.11,98.39,94.45,84.95,74,64.65,52.52,64.21,59.31,58.07,48.06,48.43,42,34.62,43.83,38.5,44.7,37.69,37.55,38.57,31.99,36.89,39.08,32.07,36.52,39.81,32.14,30.09,31.78,33.97,35.43,34.26,34.19,27.98,23.3,27.98,32.29,30.68,33.38,32.94,32.65,31.92,33.82,30.97,37.11,29.29,33.89,33.53,28.78,34.19,36.82,35.57,40.91,44.49,37.11,35.28,37.69,38.86,40.1,40.39,38.35,37.69,31.41
city,Albuquerque,NM,,Albuquerque,walking,,100,102.02,107.65,86.33,115.66,129.9,88.77,98.01,101.99,106.8,107.85,132.13,126.92,86.26,94.58,101.19,101.85,106.23,129.45,134.93,77.27,97.99,88.65,97.3,104.22,136.18,149.01,84.67,93.22,88.63,109.91,135.4,154.34,151.96,105.12,115.31,111.07,109.17,117.87,131.31,145.02,84.46,111.83,102.85,111.09,119.05,143.13,162.98,92.99,113.46,117.39,112.58,121.26,150.73,156.21,90.92,113.94,120.8,122.61,123.43,122.66,118.94,78.75,98.24,93.29,76.61,74.86,80.73,72.84,54.22,69.71,62.98,61.71,56.64,64.38,61.92,49.83,62.79,65.78,66.85,73.48,74.72,67.98,55.38,64.83,73.62,66.51,69.07,80.31,65.61,42.61,50.43,62.04,74.31,72.2,79.64,71.45,63.72,78.65,73.69,76.76,77.63,83.7,82.09,65.87,75.28,83.88,87.56,89.58,101.59,92.54,69.08,86.75,94.95,93.39,94.13,103.06,97.94,66.02
city,Ann Arbor,MI,,Ann Arbor,driving,,100,100.28,101.92,104.53,129.03,81.12,79.29,97.64,95.8,99.34,102.76,122.14,113.41,80.02,89.53,94.99,94.57,104.41,124.26,113.06,80.42,90.62,96.38,97.37,104.51,121.18,115.59,85.91,91.66,98.37,100.82,106.19,130.52,117.39,93.63,101.01,100.2,102.07,107.26,126.91,119.58,89.49,92.03,94.87,92.19,103.14,119.98,104.77,75.66,89.8,92.75,92.58,102.84,110.11,109.64,92.93,99.72,108.27,97.9,93.57,94.55,78.06,60.31,62.91,59.24,53.73,52.82,57.43,47.29,35.31,43.72,32.69,36.28,36.04,39.24,33.17,28.82,34.63,34.74,34.89,38.17,43.52,36.06,31.73,36.14,34.48,38.16,36.64,42.09,38.21,25.23,34.14,37.04,37.87,40.1,39.2,43.8,35.87,42.01,40.45,39.47,42.63,48.44,46.05,40.62,48.82,51.54,46.44,48.52,60.69,57.56,49.52,53.14,53.37,56.99,61.23,64.24,59.86,46.84
city,Ann Arbor,MI,,Ann Arbor,transit,,100,103.06,94.19,95.9,98.55,64.89,52.03,76.44,90.53,91.8,99.4,100.04,72.61,57.36,80.99,82.07,87.92,94.41,97.88,75.44,57.4,88.89,83.79,87.33,93.07,103.54,69.96,55.39,90.05,91.91,90.23,94.52,106.04,71.6,54.45,85.76,85.87,93.25,85.95,100.19,75.21,51.06,80.58,89,94.45,87.18,81.33,57.32,44.84,57.32,56.28,61.01,54.83,53.48,56.76,49.35,86.4,96.05,77.41,67.91,58.33,41.41,32.99,33.92,30.64,26.57,22.88,23.63,17.96,12.49,16.03,14.46,17.44,15.62,14.61,14.65,10.21,13.46,14.95,11.89,13.46,15.24,11.41,10.66,11.89,11.29,13.83,10.29,13.83,12.37,7.53,11.26,12.11,14.28,11.85,9.91,12.08,11.59,12.93,13.08,11.48,9.65,13.72,10.21,10.44,11.55,11.48,9.5,13.05,16.51,12.52,16.4,16.21,12.56,13.72,15.88,14.76,14.72,11.41
city,Ann Arbor,MI,,Ann Arbor,walking,,100,110.19,108.98,108.39,134.95,100.24,76.06,95.71,89.51,94.17,104.87,129.99,136.68,73.62,81.08,82.94,84.88,96.03,140.44,127.97,76.34,82.62,82.7,82.75,93.28,129.33,138.03,72.9,75.81,81.2,82.33,92.63,138.7,153.29,97.88,85.68,84.72,83.95,93.39,127.05,150.18,85.02,68.76,75.69,70.08,85.85,88.36,77.59,46.26,51.07,49.56,52.36,60.48,62.1,90.15,90.39,81.53,110.45,75.99,78.3,81.24,73.93,48.27,37.96,40.85,31.36,30.32,33.62,28.29,21.42,25.44,20.94,25.51,22.62,24.65,20.65,18.79,25.57,21.72,20.84,28.84,31.45,24.28,27.35,25.95,24.95,29.04,22.51,22.9,25.77,19.36,22.01,24.47,23.2,23.53,19.58,27.2,27.04,27.1,20.38,19.16,20.65,25.22,28.69,26.78,29.61,30.84,24.95,24.14,36.92,36.64,34.57,31.65,27.32,32.77,35.25,32.37,29.35,20.88
city,Annapolis,MD,,Annapolis,driving,,100,106.04,108.09,109.33,135.16,110.28,95.6,101.88,101.22,108.3,107.94,123.59,123.44,83.84,92.34,99.98,105.96,106.02,122.1,127.68,82,95.85,101.82,98.37,103.46,117.27,125.09,92.83,97.63,106.17,108.23,116.86,155.63,146.51,102.56,118.34,107.72,114.09,114.49,135.94,145.96,99.43,98.62,104.77,112.37,114.8,134.06,136.61,98.09,106.07,109.75,119.72,117.66,143.23,140.29,108.54,107.82,107.8,107.32,104.36,106.83,95.48,69.45,77.8,66.1,63.42,59.72,65.98,52.39,40.43,45.29,47.49,44.45,52.82,55.53,44.52,38.64,51.65,38.86,42.13,43.83,51.63,45.1,37.27,46.13,46.18,49.22,49.56,53.05,50.84,33.76,44.54,51.71,56.22,53.79,59.82,55.46,48.15,54.94,53.46,60.5,57.59,61.72,62.8,44.3,55.43,63.14,65.71,56.34,73.97,71.8,52.06,68.24,64.52,62.32,77.21,75.31,74.96,66.2
city,Annapolis,MD,,Annapolis,transit,,100,130.93,95.76,104.24,115.68,88.98,97.88,100.85,103.81,86.86,88.56,100,104.66,66.95,77.54,84.75,81.78,86.02,112.29,109.32,63.56,71.19,77.54,91.95,82.63,92.37,105.08,77.97,86.02,91.95,86.44,89.41,122.03,109.32,76.69,97.46,96.61,103.81,103.39,101.27,121.61,74.58,95.34,79.24,92.8,89.41,88.14,93.64,82.2,86.02,74.15,82.2,94.07,102.97,91.1,85.59,88.98,61.86,86.44,69.49,66.95,63.98,48.31,60.59,50.85,41.95,48.73,44.92,43.64,44.07,35.59,35.17,25,29.66,47.03,28.39,31.36,27.97,29.24,22.88,28.81,27.12,27.12,24.15,23.31,22.88,32.63,22.03,31.78,30.93,19.92,26.27,24.58,29.66,36.02,28.81,16.53,33.05,30.08,29.66,36.44,26.27,26.69,30.51,27.12,25.42,41.95,40.25,37.71,46.19,40.25,37.71,30.08,47.03,33.47,42.37,35.17,41.53,37.29
city,Annapolis,MD,,Annapolis,walking,,100,114.73,129.78,127.15,139.58,159.3,131.3,111.9,116.63,119.59,123.47,134.32,172.52,93.82,94.48,98.88,128.14,110.65,134.45,179.55,81.92,105,125.71,107.63,110.52,123.41,177.84,106.05,95,116.24,126.76,129.13,174.36,184.48,135.77,156.67,124.65,149.24,144.31,166.27,224.92,117.23,102.17,127.68,137.48,143.72,156.61,178.83,108.28,123.6,118.08,121.37,126.36,154.83,199.08,209.73,129.91,110.52,105.59,96.84,115.91,122.35,71.99,80.34,64.96,66.27,55.16,61.6,51.61,43.06,37.08,44.12,33.73,55.62,51.68,40.96,33.99,50.95,35.77,46.42,42.47,47.86,49.31,46.88,48.06,42.93,48.72,40.57,42.74,54.7,39.58,37.67,45.3,52.4,49.05,49.18,50.76,47.67,52.53,49.64,55.62,43.85,49.64,61.34,40.43,42.47,58.91,59.17,45.1,60.36,71.01,47.93,63.91,62.66,57,77.71,66.47,76.86,70.02
city,Atlanta,GA,,Atlanta,driving,,100,105.48,105.94,111.42,127.24,116.7,89.95,98.54,102.1,102.48,106.04,121.81,120.51,81.1,96.8,104.68,101.57,109.31,123.06,125.39,85.24,100.76,104.02,103.25,104.06,121.51,100.51,91.09,105.1,107.67,110.33,119.63,152.76,133.11,92.15,105.7,108.68,110.06,109.55,132.68,135.08,90.98,102.08,112.15,115.81,122.97,141.49,149.82,99.72,106.45,107.81,110.75,115.4,151.23,147.1,100.21,111.5,110.46,115.19,111.67,117.87,107.6,73.28,80.92,75.83,72.9,74.45,78.9,70.56,46.85,55.3,55.86,62.67,61.9,68.76,60.49,45.44,57.98,53.52,58.61,59.74,60.72,48.82,40.35,53.94,54.03,55.37,58.28,65.17,59.29,35.11,58.81,60.92,64.77,66.63,75.16,70.02,45.33,67.71,66.86,67.87,61.56,80.63,76.7,59.04,71.86,74.23,70.56,77.82,92.43,91.03,71.51,81.02,85.57,85.53,89.61,93.32,100.45,73.57
city,Atlanta,GA,,Atlanta,transit,,100,99.32,100.88,102.85,100.49,88.7,73.27,89.46,96.53,92.46,91.72,98.05,90.04,68.57,91.69,95.24,94.42,94.36,93.7,86.36,72.53,97.2,98.18,96.69,90.55,98.94,77.33,78.35,95.78,96.51,100.89,103.06,115.91,97.99,75.79,96.49,98.03,97.03,90,100.83,95.36,76.02,89.08,99.75,98.77,102.78,110.34,111.21,81.43,94.69,93.72,89.88,93.15,112.2,105.06,80.01,99.67,94.27,95.35,86.77,83.55,74.79,56.72,65.86,61.47,57.72,54.02,55.67,45.68,35.83,44.15,42.78,43.47,46.29,48.84,45.2,40.18,49.92,43.46,43.82,43.9,42.97,39.02,35.59,44.19,42.36,43.97,45.27,44.01,41.58,31.44,45.54,46.89,43.81,42.48,45.81,43.42,34.37,49.36,44.18,41.57,37.75,45.62,41.79,36.11,44.51,44.69,40.54,41.75,45.74,43.96,40.53,47.32,46.43,45.96,46.97,45.19,44.4,38.34
city,Atlanta,GA,,Atlanta,walking,,100,104.02,111.64,111.78,127.28,133.7,97.93,94.91,91.86,94.28,91.45,121.46,146.31,83.89,92.91,104.12,96.88,104.24,115.55,133.42,87.98,99.12,99.86,96.62,87.34,123.68,117.79,93.38,88.23,98.22,104.26,105.48,174.38,184.49,105.18,100.85,91.09,98.93,92.87,128.2,165.04,91.97,84.34,104.61,105.04,116.72,150.32,212.02,111.16,91.17,99.01,91.76,97.09,145.73,185.97,106.93,106.24,101.02,103.61,102.56,113.7,123.23,68.85,72.24,70.64,68.41,71.72,75.02,70.74,45.51,45.73,51.06,61.44,60.33,66.06,63.06,48.8,56.85,46.92,56.34,57.71,60.19,53.31,45.92,55.13,53.37,55.49,58.74,64.38,62.96,33.81,56.49,59.84,62.57,62.65,73.28,71.06,42.35,65.97,64.32,63.79,53.42,75.26,78.61,58.86,69.41,71.54,61.93,71.26,87.8,92.88,73.36,77.85,82.66,81.66,86.06,83.43,100.46,70.88
city,Austin,TX,,Austin,driving,,100,99.17,103.96,105.19,119.18,118.27,93.77,100.92,105.65,102.7,107.8,123.08,117.17,87.33,99.23,104.96,106.5,106.92,126.53,122.84,84.37,96.37,104.34,99.29,109.23,126.45,122.23,85.21,97.93,105.4,108.27,121.58,144.59,133.35,110.7,107.48,105.93,108.23,113.58,137.11,135.32,95.87,106.11,115.16,114.22,126.32,142.59,140.48,99.11,104.8,111.36,110.5,118.06,140.9,139.35,100.73,114.73,120.28,119.55,119.99,120.73,98.11,66.26,77.18,69.24,66.82,62.38,59.92,48.92,39.82,54.75,55.25,45.4,47.56,52.94,45.24,37.88,42.87,48.26,49.39,45.4,48.54,40.88,36.17,45.52,48.09,49.1,47.77,56.16,46.86,34.38,49.33,50.73,55.09,55.44,59.24,54.02,45.1,56.37,55.43,52.22,60.84,68.45,64.19,51.83,58.11,61.2,61.67,66.22,78.11,73.68,59.54,67.67,68.8,70.28,72.14,84.54,81.12,62.64
city,Austin,TX,,Austin,transit,,100,105.32,107.85,105.53,108.08,109.55,98.66,124.08,149.72,136.2,142.01,150.52,126.9,105.73,137.87,131.83,131.35,137.1,146.45,130.32,101.92,129.35,132.78,119.41,134.58,142.07,119.82,99.89,125.75,131.57,137.39,146.86,157.69,129.13,127.57,132.49,128.87,127.92,130.78,146.15,134.33,119.28,131.41,134.12,128.61,142.15,154.25,139.55,107.99,128.4,137.58,127.24,136.71,147.4,131.07,102.02,129.52,136,125.82,126.32,104.31,79.98,59.07,68.09,59.2,55.21,50.01,41.02,32.58,34.7,42.8,39.58,34.41,35.83,37.12,30.12,30.95,28.2,34.54,33.69,29.63,29.41,24.1,24.89,33.33,35.2,34.74,34.18,31,27.09,25.94,30.3,30.87,31.23,29.33,29.96,27.13,26.92,34.7,30.16,30.68,36.09,34.52,33.57,29.83,33.33,35.37,36.68,33.61,41.49,38.38,34.2,40.84,39.97,41.73,41.7,42.07,40.82,32.91
city,Austin,TX,,Austin,walking,,100,101.52,105.54,107.57,146.21,194.36,136.85,132.35,155.62,140.22,145.05,181.66,189.79,126.31,134.23,126.43,123.77,125.12,169,195.5,113.33,115.97,128.04,113.13,131.83,175.34,193.38,104.09,103.1,103.43,117.88,140.03,201.69,234.57,188.96,133.69,112.76,113.24,126.15,178.76,217.4,132.23,125.76,131.98,126.88,145.94,200.31,235.17,135.5,117.5,123.86,106.39,141.34,191.55,217.68,139.34,117.64,142.99,132.61,131.47,134.64,130.28,69.6,74.24,64.45,62.73,59.1,51.43,43.66,42.39,55.6,58.81,49.15,49.94,54.06,49.25,43.98,38.71,52.83,52.54,42.78,43.17,36.1,40.51,48.37,51.8,50.53,46.33,57.72,48.45,39.43,49.4,49.84,53.72,54.6,51.89,53.95,48.04,54.83,53.05,49.95,61.1,64.19,66.11,55.1,58.4,60.47,63.71,65.62,74.34,76.19,61.48,66.54,68.3,71.25,71.06,81.59,84.26,62.4
city,Bakersfield,CA,,Bakersfield,driving,,100,106.55,113.47,113.4,139.14,132.91,96.99,108.57,119.08,119.01,120.18,137.65,128.36,87.46,111.49,111.99,109.46,114.78,138.95,130.77,87.75,111.52,112.47,114.25,119.04,139,133.06,95.22,120.29,119.19,122.44,131.04,159.85,134.33,102.57,116.72,119.1,121.47,126.6,151.05,146.6,105.55,120.6,123.15,126,134.98,157.97,151.22,107.29,123.97,126.9,124.8,128.96,148.5,140.92,102.3,118.76,116.57,118.18,118.33,136.37,120.19,87.48,101.38,100.27,95.55,89.84,89.47,69.98,55.6,74.2,73.24,71.51,73.51,83.8,67.14,53.71,73.02,74.93,79.9,76.59,87.69,72.67,56.81,73.02,72.28,68.77,73.03,89.17,78.2,51.6,78.43,82.49,89.78,92.86,95.83,83.25,69.03,90.46,88.45,90.26,93.13,106.81,95.1,77.57,97.31,98.71,99.03,105.13,117.24,108.84,86.64,107.25,108.07,105.75,113.35,129.18,122.25,91.14
city,Bakersfield,CA,,Bakersfield,transit,,100,109.53,122.62,110.88,123.58,101.54,93.94,109.24,147.64,137.63,131.57,116.07,107.41,80.27,126.18,126.66,124.74,115.98,126.56,120.79,79.69,137.63,121.94,121.08,112.8,126.47,108.37,86.43,121.27,137.05,136.28,139.65,123.87,105.2,92.01,109.91,125.31,136.67,137.54,142.93,111.36,105,126.37,133.01,125.6,125.02,141.58,118.29,95.86,130.8,128.3,132.34,130.03,129.16,92.3,85.08,108.47,107.8,113.47,113.47,119.44,107.8,76.13,89.61,92.59,77,73.24,75.17,53.9,52.36,63.14,54.38,44.95,53.9,52.65,40.23,34.84,52.55,47.55,48.99,52.55,51.59,44.47,38.5,43.21,44.66,42.16,38.69,55.15,37.44,38.21,46.29,56.11,56.4,60.44,47.16,43.31,44.56,53.42,57.75,50.91,52.36,50.05,49.47,47.26,59.58,57.07,53.03,58.04,69.59,55.92,52.84,60.35,62.08,59.58,63.81,70.74,66.12,50.43
city,Bakersfield,CA,,Bakersfield,walking,,100,105.24,113.36,114.02,136.51,141.9,95.2,101.86,121.63,120.13,116.05,137.02,140.59,81.97,110.11,109.96,101.21,112.71,142.77,138.12,82.92,115.64,112.66,120.8,113.87,141.69,149.68,84.44,121.99,121.27,126.28,123.74,157.08,135.12,97.84,116.68,128.79,123.87,128.33,149.03,147.02,95.56,114.57,124.84,131.42,134.02,170.85,166.87,106.81,126.7,132.03,129.79,130.47,146.81,145.96,97.53,115.12,108.67,114.76,113.83,137.36,131.59,85.67,93.64,98.48,107.19,94.9,93.23,76.22,63.7,82.6,82.56,77.91,72.6,94.21,75.05,63.7,86.93,88.33,84.65,90.21,98.58,82.28,62.18,80.72,79.43,70.4,78.14,97.82,83.32,63.93,92.18,88.63,98.37,102.58,97.06,85.41,74.48,96.87,93.34,97.25,96.91,109.87,95.84,78.54,101.75,104.84,104.76,108.54,128.03,104.48,85.81,120.38,120.02,121.12,126.13,137.57,129.62,90.74
city,Baltimore,MD,,Baltimore,driving,,100,105.6,108.94,109.34,125.4,89.48,82.95,93.03,102.14,106.02,109.06,125.18,116.84,84.28,100.35,101.6,104.93,106.91,126.82,115.38,80.98,100.09,107.28,105.37,110.87,122.33,117.25,89.65,104.59,108.52,110.56,120.53,146.07,125.15,95.78,106.79,108.91,111.79,113.92,135.28,131.57,95.48,105.24,110.18,113.97,116.24,137.27,129.04,96.19,108.06,110.49,118.67,120.94,137.42,135.35,97.77,116.79,114.83,112.13,107.58,118.11,102.79,72.35,80.66,73.78,72.76,71,81.25,66.9,51.11,56.06,57.77,54.51,63.21,71.04,56.84,47.76,59.61,48.63,53.52,55.55,65.39,56.74,48.42,58.06,56.65,60.55,58.9,67.62,63.71,45.61,54.58,61.85,67.35,68.11,78.93,70.45,59.35,69.6,65.67,71.43,69.95,77.55,77.51,55.16,68.52,71.32,76.67,70.62,89.15,89.59,67.28,79.69,78.76,75.38,86.25,90.73,93.05,77.26
city,Baltimore,MD,,Baltimore,transit,,100,99.96,105.05,97.79,100,71.71,68.96,84.98,98.86,98.53,102.83,104.06,87.52,73.35,107.11,99.66,95.5,95.43,102.01,82.06,70.82,104.17,106.5,100.16,95.74,95.96,83.84,73.57,99.2,101.52,100.76,102.55,106.64,86.33,76.64,94.78,109.66,108.9,106.42,106.13,90.72,75.87,104.63,100.23,98.95,94.48,104.58,88.39,76.84,105.43,105.54,109.63,105.86,109.75,96.92,79.35,109.82,100.2,100.41,95,94.35,79.14,61.47,67.59,64.65,64.15,58.67,54.07,46.9,41.94,45.69,48.68,45.06,48.84,49.58,42.36,38.72,44.81,38.42,39.56,41.13,41.69,37.26,36.81,41.77,40.84,43.28,42.21,39.71,38.93,34.52,40.84,44.52,44.05,41.14,42.86,36.18,38.09,46.14,41.58,44.12,40.18,42.81,39.24,35.5,48.93,42.85,43.33,38.45,45.77,43.29,39.2,47.14,50.07,44.46,46.23,47.03,39.94,38.83
city,Baltimore,MD,,Baltimore,walking,,100,104.72,123.02,125.76,142.25,114.08,91.54,89.69,96.47,102.69,106.36,133.43,153.24,98.62,102.01,100.68,104.13,104.65,135.74,141.83,89.09,102.47,107.56,99.75,102.59,130.14,152.89,102.4,94.74,99.03,106.98,114.29,164.26,175.18,119.07,117.92,126.24,126.93,122.58,145.33,175.75,112.43,111.65,104.62,110.56,110.87,145.87,160.06,107.55,105.48,111.09,122.63,124.64,150.7,181.57,114.78,124.88,117.14,109.94,112.53,129.52,134.39,78.6,80.15,75.74,72.46,75.84,88.73,71.22,55.82,55.68,63.5,52.69,70.07,76.98,59.94,51.84,62.61,51.81,54.13,57.55,67.62,62.17,59.6,64.08,59.76,67.14,61.21,64.36,70.33,52.61,54.97,62.05,68.13,65.61,75.96,70.98,65.6,71.24,65.8,72.16,66.27,74.12,82.44,54.35,67.9,71.93,79.2,64.57,90.39,103,72.67,84.29,78.6,72.59,91.12,88.52,94.07,76.97
city,Birmingham - Alabama,AL,,Birmingham - Alabama,driving,,100,100.39,101.95,105.97,124.99,109.89,84.12,99.43,97.73,97.87,104.81,122.05,116.86,74.25,98.87,98.58,96.17,105.42,124.98,114.77,78.92,94.57,97.1,96.17,102.71,120.15,116.09,82.85,95.58,101.42,103.6,115.8,139.46,121.43,89.26,101.21,105.05,110.39,114.27,137.02,126.67,81.3,107.92,109.7,110.7,120.04,141.17,132.82,87.87,101.9,109.58,109.44,123.83,147.38,146.35,94.43,107.18,111.16,109.89,116.79,122.45,111.57,69.08,82.35,76.24,72.59,69.46,73.33,59.22,41.13,51.37,57.11,59.5,62.38,66.12,56.03,43.45,57.28,55.92,61.24,62.52,68.89,53.53,38.97,55.39,54.36,56.89,63.28,68.22,58.94,28.15,61.07,64.75,68.64,71.67,79.49,70.49,40.74,73.38,73.89,74.99,67.71,84.84,75.47,57.66,74.41,77,71.84,84.46,95.84,84.06,65.31,85.51,87.23,90.92,93.28,97.39,95.59,66.37
city,Birmingham - Alabama,AL,,Birmingham - Alabama,transit,,100,105.69,102.7,104.55,114.79,136.98,92.89,115.08,102.13,114.79,115.65,136.84,121.76,82.79,116.36,103.84,115.79,111.24,122.48,123.19,94.17,104.41,106.83,112.23,124.04,112.09,119.77,95.02,114.65,102.7,114.37,117.5,128.59,114.51,81.65,116.36,111.81,125.18,110.24,135.14,119.35,85.21,116.22,119.91,116.64,116.07,129.59,132.43,95.31,109.39,121.62,96.44,117.78,141.11,152.06,84.21,105.97,125.18,107.82,124.04,110.95,116.64,78.24,91.18,84.92,75.39,75.96,71.12,67.99,46.51,59.6,59.03,65.29,63.87,67.43,62.59,49.5,56.05,54.34,61.31,54.05,62.87,55.19,41.54,51.49,50.64,56.61,61.17,55.33,55.33,38.41,63.87,68.85,56.9,68.71,69.13,66.86,46.66,68.99,81.65,63.16,66.15,66.71,67.85,57.47,77.24,72.83,76.67,72.4,82.36,77.67,64.15,69.13,75.68,87.62,75.68,75.25,84.07,67.99
